generation,best_fitness_score,global_max_raw_reward,global_avg_raw_reward,selected_individual_raw_reward
1,0.5678032794941655,-200.0,-200.0,-200.0
2,0.5679106379679769,-200.0,-200.0,-200.0
3,0.5496940029400196,-200.0,-200.0,-200.0
4,0.5647643357764228,-200.0,-200.0,-200.0
5,0.657851565707614,-188.2,-199.764,-188.2
6,0.7612325456232496,-188.2,-199.764,-188.2
7,0.863610228661204,-188.2,-199.764,-188.2
8,0.9722649492484393,-188.2,-199.764,-188.2
9,1.0856891918601845,-188.2,-199.764,-188.2
10,1.1316675897265451,-173.0,-199.22400000000002,-173.0
11,1.2350388871961027,-172.8,-199.22,-172.8
12,1.2829871309418215,-172.4,-199.21200000000002,-172.4
13,1.2994210210236916,-172.0,-199.204,-172.0
14,1.3144849549634174,-171.8,-199.2,-171.8
15,1.3764123796192103,-171.4,-199.192,-171.4
16,1.3629678509257714,-172.2,-199.208,-172.2
17,1.3557656560738671,-171.6,-199.196,-171.6
18,1.3707208277356078,-172.0,-199.204,-172.0
19,1.3826836758489496,-171.4,-199.192,-171.4
20,1.3556998771063602,-173.0,-199.22400000000002,-173.0
21,1.3591046417179333,-171.8,-199.2,-171.8
22,1.3787112825086438,-171.2,-199.188,-171.2
23,1.3763133624897796,-171.0,-199.18400000000003,-171.0
24,1.331892240353778,-172.2,-199.208,-172.2
25,1.092600936963142,-172.6,-202.81599999999997,-172.6
26,1.1273982803389953,-166.6,-199.332,-166.6
27,1.067375557053587,-166.6,-198.708,-166.6
28,1.0483241460084645,-166.0,-198.696,-168.8
29,1.119973350366645,-161.0,-198.544,-161.0
30,1.1830925117173972,-160.6,-198.50799999999998,-164.8
31,1.1437677923640062,-164.2,-198.65200000000002,-168.4
32,1.1373940300570735,-165.2,-198.672,-168.4
33,1.192524632545043,-154.2,-198.368,-154.2
34,1.177398599965218,-162.0,-198.528,-162.0
35,1.1637500204267437,-154.0,-197.928,-154.0
36,1.1859855203379985,-148.4,-197.6,-148.4
37,1.1777228974648613,-156.4,-197.65599999999998,-156.4
38,1.1000923075376512,-156.4,-197.62400000000002,-156.4
39,1.0932237775017328,-148.6,-197.628,-148.6
40,1.0726086497402545,-148.8,-197.424,-148.8
41,1.0151192953979549,-148.0,-197.252,-156.8
42,1.0360993610799496,-148.8,-197.232,-148.8
43,1.0545361711032466,-148.8,-197.27200000000002,-148.8
44,0.9989430580513441,-148.4,-197.264,-156.8
45,0.9836601878495269,-148.6,-197.24800000000002,-148.6
46,0.9691447445544368,-148.8,-197.296,-156.8
47,0.9611662562862385,-148.8,-197.264,-148.8
48,0.9364206410949375,-143.6,-196.96,-149.4
49,0.784972831679654,-136.0,-200.27200000000002,-142.4
50,0.7995316201845215,-142.6,-196.832,-142.6
51,0.8250504738419211,-144.0,-196.968,-149.2
52,0.8125632934242338,-143.4,-196.08,-144.8
53,0.8004934938717186,-143.0,-196.192,-143.0
54,0.9539685597185799,-143.4,-196.08800000000002,-143.4
55,0.9165594710710219,-142.8,-196.144,-142.8
56,0.8792951314971947,-149.4,-196.18,-150.8
57,0.8814897651791707,-142.8,-196.232,-142.8
58,0.7200714741154649,-143.0,-197.34400000000002,-143.0
59,0.7609629207785258,-135.8,-196.176,-135.8
60,0.7337037899067828,-143.6,-194.53599999999997,-143.6
61,0.7441533101613556,-143.2,-194.65599999999998,-143.2
62,0.7441654845405283,-143.8,-194.61599999999999,-143.8
63,0.7725151565890125,-131.8,-194.42399999999998,-157.4
64,0.8039987956941198,-127.0,-194.792,-127.0
65,0.8277115595718414,-131.6,-194.424,-131.6
66,0.8530093009212274,-127.6,-194.60399999999998,-127.6
67,0.8854143545094321,-115.0,-193.456,-115.0
68,0.8753697916945999,-128.2,-193.372,-128.2
69,0.8303625508424968,-125.6,-192.828,-125.6
70,0.8037100004038253,-126.2,-192.44400000000002,-126.2
71,0.7592781086947565,-125.8,-191.72799999999998,-125.8
72,0.7092891974183361,-125.0,-191.328,-125.0
73,0.6762781306279061,-126.2,-190.97199999999998,-126.2
74,0.6339032167602304,-130.2,-189.54,-130.2
75,0.6129046405224484,-125.6,-190.14,-125.6
76,0.5794166050660897,-127.0,-188.68,-127.0
77,0.569644851498105,-113.8,-188.28400000000002,-113.8
78,0.5745521252546196,-112.0,-189.04399999999998,-112.0
79,0.5986088532124678,-99.8,-187.26399999999998,-99.8
80,0.6185797995039067,-98.4,-187.972,-98.4
81,0.6562850192630766,-88.0,-185.924,-88.0
82,0.664860707632382,-100.6,-187.06400000000002,-100.6
83,0.6578111257553141,-100.8,-185.85199999999998,-100.8
84,0.6472791189533558,-102.0,-185.72,-102.0
85,0.6215246903410991,-104.6,-185.4,-104.6
86,0.6074488813295774,-100.8,-186.22,-100.8
87,0.5904978079154847,-101.4,-184.83599999999998,-101.4
88,0.5854146667894291,-100.6,-184.888,-100.6
89,0.5815864295676161,-101.4,-184.49599999999998,-101.4
90,0.5853338195006232,-100.8,-184.908,-100.8
91,0.5720162957060582,-100.6,-184.03599999999997,-100.6
92,0.5769614292586077,-88.0,-182.024,-88.0
93,0.5647842230469263,-103.0,-183.2,-103.0
94,0.5590614410618546,-99.8,-182.856,-99.8
95,0.46754554022952216,-86.4,-185.38400000000001,-86.4
96,0.3824262395244847,-86.0,-190.204,-86.0
97,0.3589529476345433,-102.8,-181.54,-102.8
98,0.35757373761648736,-98.8,-181.84,-98.8
99,0.3611540077418108,-98.2,-181.06,-121.0
100,0.42446001737781935,-99.2,-180.812,-99.2
